Instance,Pred_class,class,Matches,x,y,Mix,Account_Balance,Duration_of_Credit,Payment_Status_of_Previous_Credit,Credit_Amount,Value_Savings,Length_emp,Installment,Duration_current_add,Age,class_new
28,0,0,Match,0.713778731,-0.26210335,"R21,R47,R60,R89,R114,R150,R177,R193,R228,R252",4,12,3,409,5,3,3,3,42,1
29,0,0,Match,-0.321007197,-0.592102996,"R20,R26,R60,R78,R110,R142,R173,R191,R226,R249",3,7,2,2415,2,3,3,2,34,1
30,1,1,Match,-0.71003288,-0.199621881,"R18,R37,R72,R97,R124,R154,R178,R205,R229,R238",2,60,0,6836,2,5,3,4,63,2
31,0,0,Match,0.447343092,-0.509689855,"R21,R28,R60,R79,R115,R150,R177,R191,R228,R250",3,18,2,1913,5,2,3,3,36,1
32,0,0,Match,0.296163039,-0.37068603,"R20,R27,R51,R78,R113,R147,R177,R205,R228,R250",2,24,2,4020,2,3,2,2,27,1
33,0,0,Match,0.388487838,-0.355425682,"R20,R27,R51,R78,R129,R149,R177,R205,R228,R250",3,18,2,5866,3,3,2,2,30,1
34,0,0,Match,0.030908541,0.554354711,"R2,R25,R65,R82,R105,R137,R181,R187,R210,R234",1,12,1,1264,1,5,4,4,57,1
35,0,0,Match,0.097158672,-0.447062028,"R20,R27,R60,R78,R110,R147,R179,R191,R228,R250",4,12,2,1474,2,2,4,1,33,1
36,1,1,Match,0.700254725,0.367121664,"R13,R36,R62,R96,R122,R153,R167,R204,R224,R242",3,45,1,4746,2,2,4,2,25,2
37,0,0,Match,-0.704243643,-0.022747541,"R4,R32,R51,R97,R123,R138,R175,R200,R220,R239",1,48,1,6110,2,3,1,3,31,1
38,0,1,NonMatch,0.130002708,-0.449091956,"R20,R27,R60,R78,R112,R147,R179,R191,R228,R250",4,18,2,2100,2,3,4,2,37,2
39,0,0,Match,0.117043229,-0.596722713,"R20,R26,R51,R78,R110,R142,R174,R191,R228,R250",4,10,2,1225,2,3,2,2,37,1
40,0,0,Match,-0.228412088,-0.638438119,"R10,R26,R60,R78,R110,R142,R161,R191,R225,R250",3,9,2,458,2,3,4,3,24,1
41,0,0,Match,-0.09896551,0.534309258,"R2,R25,R65,R82,R107,R135,R181,R187,R217,R244",1,30,2,2333,4,5,4,2,30,1
42,0,0,Match,0.430377635,-0.524819751,"R10,R28,R60,R79,R115,R150,R177,R191,R228,R250",3,12,2,1158,4,3,3,1,26,1
43,0,0,Match,0.405239587,-0.321721857,"R15,R27,R51,R78,R123,R147,R177,R205,R228,R238",3,18,0,6204,2,3,2,4,44,1
44,0,0,Match,0.385433553,0.234868971,"R14,R27,R75,R82,R123,R149,R161,R204,R222,R241",2,30,1,6187,3,4,1,4,24,1
45,1,1,Match,0.605443726,0.24087093,"R18,R37,R72,R97,R124,R154,R181,R205,R228,R242",2,48,1,6143,2,5,4,4,58,2
46,0,0,Match,-0.527100145,0.463967064,"R2,R22,R56,R76,R105,R137,R168,R187,R216,R232",1,11,1,1393,2,2,4,4,35,1
47,0,0,Match,0.354315902,0.652785855,"R4,R33,R65,R91,R107,R137,R181,R189,R219,R247",1,36,2,2299,4,5,4,4,39,1
48,0,0,Match,0.082147771,-0.807697606,"R9,R28,R49,R79,R115,R141,R161,R191,R222,R249",2,6,2,1352,4,1,1,2,23,1
49,0,0,Match,0.309607855,0.450667258,"R3,R22,R51,R76,R123,R138,R171,R203,R217,R232",1,11,1,7228,2,3,1,4,39,1
50,0,0,Match,-0.361945279,0.45042584,"R2,R22,R57,R76,R105,R135,R179,R187,R217,R244",1,12,2,2073,3,3,4,2,28,1
51,0,0,Match,0.153524005,-0.657535149,"R17,R27,R60,R78,R113,R147,R179,R190,R212,R237",3,24,0,2333,1,2,4,2,29,1
52,0,0,Match,0.373386455,-0.023063213,"R15,R27,R70,R82,R123,R147,R177,R205,R228,R238",3,27,0,5965,2,5,1,2,30,1
53,0,0,Match,-0.421322007,0.513080392,"R2,R22,R56,R76,R105,R135,R163,R187,R217,R244",1,12,2,1262,2,3,3,2,25,1
54,0,0,Match,-0.512873049,0.341800218,"R2,R22,R51,R77,R104,R135,R175,R187,R209,R244",1,18,2,3378,1,3,2,1,31,1
55,1,1,Match,0.327927306,0.165138405,"R18,R37,R70,R93,R113,R154,R181,R190,R228,R236",3,36,0,2225,2,5,4,4,57,2
56,0,0,Match,0.336325652,0.706492954,"R6,R39,R52,R84,R104,R135,R168,R186,R209,R244",1,6,3,783,1,3,1,2,26,1
57,0,1,NonMatch,-0.263760309,-0.42623868,"R20,R27,R48,R78,R119,R147,R178,R196,R214,R253",3,12,2,6468,1,1,2,1,52,2
58,0,0,Match,-0.715565301,-0.020381812,"R4,R32,R51,R100,R123,R138,R175,R200,R220,R239",1,36,1,9566,2,3,2,2,31,1
59,0,0,Match,-0.09009359,-0.306427788,"R11,R27,R70,R82,R112,R147,R161,R191,R222,R250",4,18,2,1961,2,5,3,2,23,1
60,1,1,Match,0.707803467,0.32964328,"R14,R36,R62,R94,R122,R154,R161,R204,R224,R242",2,36,1,6229,2,2,4,4,23,2
61,0,0,Match,0.119906597,-0.596206034,"R20,R26,R51,R78,R110,R142,R173,R191,R228,R250",3,9,2,1391,2,3,2,1,27,1
62,0,0,Match,-0.039191751,-0.133063369,"R18,R27,R70,R82,R110,R147,R181,R191,R212,R234",3,15,1,1537,1,5,4,4,50,1
63,1,1,Match,0.677863003,-0.140513964,"R20,R43,R70,R93,R113,R154,R182,R195,R228,R252",3,36,4,1953,2,5,4,4,61,2
64,1,1,Match,-0.776360764,-0.198566399,"R13,R43,R52,R101,R128,R152,R167,R204,R223,R255",3,48,4,14421,2,3,2,2,25,2
65,0,0,Match,-0.307781031,0.345208926,"R2,R23,R57,R77,R105,R136,R179,R187,R216,R247",1,24,2,3181,2,2,4,4,26,1
66,0,0,Match,0.288642078,0.541779357,"R3,R25,R65,R82,R126,R139,R181,R197,R210,R247",1,27,2,5190,1,5,4,4,48,1
67,0,0,Match,-0.556924365,0.35078491,"R2,R22,R51,R76,R104,R135,R175,R187,R216,R243",1,12,2,2171,2,2,2,2,29,1
68,0,0,Match,-0.202542763,-0.725934105,"R10,R28,R60,R79,R115,R150,R157,R191,R225,R250",3,12,2,1007,5,3,4,1,22,1
69,0,1,NonMatch,0.362060769,0.55788152,"R4,R33,R57,R91,R105,R137,R179,R188,R219,R247",1,36,2,1819,2,3,4,4,37,2
70,0,0,Match,0.364998221,0.684059962,"R4,R30,R57,R91,R105,R136,R166,R188,R209,R247",1,36,2,2394,1,3,4,4,25,1
71,0,0,Match,-0.713456531,-0.013355589,"R4,R32,R51,R100,R129,R138,R175,R200,R220,R244",1,36,2,8133,2,3,1,2,30,1
72,0,0,Match,-0.011836244,0.708330079,"R2,R25,R65,R80,R105,R135,R169,R186,R210,R230",1,7,1,730,1,5,4,2,46,1
73,0,0,Match,-0.54190929,-0.376234901,"R18,R26,R69,R80,R110,R144,R169,R191,R226,R234",2,8,1,1164,2,5,3,4,51,1
74,1,0,NonMatch,0.654118659,0.088470741,"R16,R36,R70,R97,R119,R152,R177,R205,R228,R242",3,42,1,5954,2,4,2,1,41,1
75,1,1,Match,-0.17670427,-0.191982693,"R20,R34,R70,R93,R113,R154,R181,R191,R215,R250",2,36,2,1977,1,5,4,4,40,2
76,0,0,Match,0.004466725,-0.068092508,"R18,R27,R70,R82,R111,R147,R181,R191,R229,R234",2,12,1,1526,2,5,4,4,66,1
77,1,1,Match,0.539832889,-0.105921277,"R20,R36,R62,R97,R113,R153,R179,R205,R228,R250",2,42,2,3965,2,2,4,3,34,2
78,0,0,Match,0.481773666,0.238607598,"R15,R26,R69,R82,R124,R146,R173,R205,R228,R232",3,11,0,4771,2,4,2,4,51,1
79,0,0,Match,-0.793372082,-0.060805403,"R7,R41,R54,R100,R126,R138,R176,R199,R210,R244",1,54,4,9436,1,3,2,2,39,1
80,0,0,Match,-0.183147012,-0.539565316,"R11,R27,R50,R78,R113,R147,R157,R192,R222,R250",3,30,2,3832,2,2,2,1,22,1
81,0,1,NonMatch,0.453492691,0.4973639,"R3,R23,R51,R77,R119,R138,R175,R197,R208,R243",1,24,2,5943,1,2,1,1,44,2
82,0,0,Match,-0.048158239,0.65771497,"R2,R25,R65,R81,R107,R137,R181,R187,R217,R247",1,15,2,1213,4,5,4,3,47,1
83,0,0,Match,-0.362742237,0.562362413,"R2,R22,R57,R77,R105,R136,R160,R187,R217,R247",1,18,2,1568,3,3,3,4,24,1
84,0,0,Match,0.186001861,-0.22157805,"R20,R27,R70,R82,R113,R147,R181,R191,R228,R250",2,24,2,1755,2,5,4,4,58,1
85,0,0,Match,0.28151325,-0.230662087,"R20,R26,R69,R82,R110,R145,R169,R191,R228,R250",2,10,2,2315,2,5,3,4,52,1
86,0,0,Match,-0.374126828,0.430787652,"R2,R22,R56,R76,R105,R135,R179,R187,R217,R230",1,12,1,1412,2,3,4,2,29,1
87,0,0,Match,0.121864162,-0.494789001,"R17,R27,R60,R78,R112,R147,R179,R191,R228,R241",3,18,1,1295,2,2,4,1,27,1
88,1,1,Match,0.662651899,0.144048187,"R19,R36,R51,R101,R129,R152,R178,R205,R228,R256",3,36,2,12612,3,3,1,4,47,2
89,0,0,Match,0.278030856,-0.230963647,"R20,R27,R75,R82,R115,R149,R179,R191,R228,R250",2,18,2,2249,3,4,4,3,30,1
90,1,1,Match,0.602570242,-0.18187718,"R20,R42,R70,R84,R110,R148,R179,R195,R228,R252",2,12,4,1108,2,4,4,3,28,2
91,0,0,Match,0.03913293,0.642713024,"R2,R25,R65,R80,R105,R137,R181,R186,R217,R234",1,12,1,618,2,5,4,4,56,1
92,0,0,Match,0.13904161,-0.086578449,"R18,R27,R70,R82,R111,R147,R181,R191,R228,R234",2,12,1,1409,2,5,4,3,54,1
93,0,1,NonMatch,0.110050843,0.673565617,"R2,R25,R65,R80,R105,R136,R181,R186,R209,R233",1,12,1,797,1,5,4,3,33,2
94,0,0,Match,-0.055552354,-0.087434648,"R11,R27,R70,R82,R113,R147,R161,R192,R212,R241",4,24,1,3617,1,5,4,4,20,1
95,0,0,Match,0.339062808,0.031306817,"R21,R28,R75,R82,R115,R150,R181,R191,R228,R250",3,12,2,1318,5,5,4,4,54,1
96,0,1,NonMatch,0.71461018,0.009391006,"R20,R43,R61,R99,R129,R154,R178,R205,R228,R256",3,54,4,15945,2,2,3,4,58,2
97,0,0,Match,-0.088401985,0.44532188,"R2,R25,R65,R82,R105,R135,R179,R187,R210,R230",1,12,1,2012,1,4,4,2,61,1
98,0,0,Match,0.210185278,-0.489418355,"R20,R27,R60,R78,R115,R149,R179,R191,R228,R250",3,18,2,2622,3,3,4,4,34,1
99,1,0,NonMatch,0.478512463,0.010102021,"R18,R36,R70,R93,R113,R154,R181,R191,R228,R242",3,36,1,2337,2,5,4,4,36,1
100,0,0,Match,0.272710623,0.084033235,"R18,R27,R70,R82,R123,R147,R177,R197,R212,R238",3,20,0,7057,1,4,3,4,36,1
101,0,0,Match,-0.044065701,0.549270201,"R2,R25,R65,R82,R105,R137,R181,R187,R217,R247",1,24,2,1469,3,5,4,4,41,1
102,1,0,NonMatch,0.491538048,-0.502660933,"R11,R36,R70,R93,R113,R154,R161,R191,R225,R250",3,36,2,2323,2,4,4,4,24,1
103,0,0,Match,-0.558976439,0.451730794,"R2,R22,R56,R76,R105,R130,R160,R183,R217,R230",1,6,0,932,2,3,3,2,24,1
104,0,0,Match,0.106693785,0.017601071,"R17,R26,R69,R82,R110,R145,R173,R191,R228,R232",3,9,1,1919,2,4,4,3,35,1
105,0,0,Match,-0.554208636,0.313155838,"R2,R22,R51,R76,R104,R136,R175,R187,R207,R247",1,12,2,2445,1,2,2,4,26,1
106,0,1,NonMatch,0.380844851,-0.33314252,"R16,R27,R51,R78,R123,R147,R177,R205,R228,R241",3,24,1,11938,2,3,2,3,39,2
107,0,1,NonMatch,-0.695305803,0.102244512,"R7,R39,R66,R86,R129,R139,R175,R203,R217,R247",1,18,3,6458,2,5,2,4,39,2
108,0,0,Match,0.334897136,-0.173614057,"R20,R27,R70,R82,R129,R147,R177,R205,R228,R250",3,12,2,6078,2,4,2,2,32,1
109,0,0,Match,0.247208848,-0.647983107,"R19,R27,R51,R78,R126,R147,R177,R197,R214,R255",2,24,2,7721,1,2,1,2,30,1
110,0,0,Match,0.489934473,-0.302208513,"R21,R28,R74,R82,R115,R150,R177,R191,R228,R250",3,14,2,1410,4,5,1,2,35,1
111,0,0,Match,0.466958719,0.345973018,"R15,R26,R74,R82,R115,R144,R173,R190,R226,R230",3,6,0,1449,3,5,1,2,31,1
112,0,0,Match,-0.055948278,-0.588351357,"R10,R27,R60,R78,R110,R147,R161,R191,R224,R250",4,15,2,392,2,2,4,4,23,1
113,0,0,Match,0.382269235,-0.104280432,"R20,R27,R70,R82,R129,R147,R177,R205,R228,R255",3,18,2,6260,2,4,3,3,28,1
114,0,1,NonMatch,-0.764931251,-0.035614825,"R4,R30,R57,R103,R123,R138,R167,R200,R220,R239",1,36,1,7855,2,3,4,2,25,2
115,0,0,Match,0.489934473,-0.302208513,"R21,R28,R74,R82,R115,R150,R177,R191,R228,R250",2,12,2,1680,4,5,3,1,35,1
116,0,0,Match,0.331885943,0.654665486,"R5,R33,R64,R97,R105,R135,R181,R189,R210,R239",1,48,1,3578,1,5,4,1,47,1
117,0,1,NonMatch,-0.495162825,-0.109448427,"R20,R35,R70,R97,R126,R153,R179,R197,R215,R255",2,42,2,7174,1,4,4,3,30,2
118,0,0,Match,-0.458940439,-0.426086367,"R16,R26,R51,R78,R110,R141,R168,R191,R212,R232",2,10,1,2132,1,2,2,3,27,1
119,1,1,Match,0.676561219,0.365420748,"R14,R29,R50,R94,R115,R152,R161,R204,R223,R242",2,33,1,4281,4,3,1,4,23,2
120,0,0,Match,0.406388624,0.050581029,"R18,R28,R75,R82,R115,R150,R177,R191,R228,R232",3,12,1,2366,4,4,3,3,36,1
121,0,1,NonMatch,-0.021079645,-0.60452858,"R11,R27,R60,R78,R112,R147,R166,R191,R222,R250",2,21,2,1835,2,3,3,2,25,2
122,0,0,Match,-0.09450901,0.519898677,"R2,R25,R65,R82,R105,R135,R181,R187,R217,R239",1,24,1,3868,2,5,4,2,41,1
123,0,0,Match,-0.40137345,0.523828216,"R2,R22,R57,R76,R105,R135,R160,R187,R217,R244",1,12,2,1768,2,3,3,2,24,1
124,0,0,Match,-0.602164797,-0.380811619,"R18,R26,R69,R80,R111,R144,R174,R191,R229,R234",4,10,1,781,2,5,4,4,63,1
125,0,1,NonMatch,0.048374961,-0.495200991,"R20,R27,R60,R78,R112,R147,R179,R191,R214,R250",3,18,2,1924,1,2,4,3,27,2
126,0,0,Match,0.01864106,-0.435411681,"R17,R27,R60,R78,R110,R147,R179,R191,R228,R230",2,12,1,2121,2,3,4,2,30,1
127,0,0,Match,0.097158672,-0.447062028,"R20,R27,R60,R78,R110,R147,R179,R191,R228,R250",2,12,2,701,2,3,4,2,40,1
128,0,1,NonMatch,0.097158672,-0.447062028,"R20,R27,R60,R78,R110,R147,R179,R191,R228,R250",3,12,2,639,2,3,4,2,30,2
129,0,0,Match,-0.019749439,-0.391737479,"R17,R27,R59,R78,R110,R147,R179,R191,R228,R230",3,12,1,1860,2,1,4,2,34,1
130,0,1,NonMatch,0.135891696,-0.524055773,"R17,R27,R60,R78,R110,R147,R177,R191,R228,R230",2,12,1,3499,2,3,3,2,29,2
131,0,0,Match,0.667595649,0.433255898,"R13,R35,R71,R100,R126,R152,R162,R197,R215,R255",3,48,2,8487,1,4,1,2,24,1
132,1,1,Match,0.583340493,0.18424272,"R17,R36,R62,R95,R123,R153,R179,R205,R228,R238",2,36,0,6887,2,3,4,3,29,2
133,0,0,Match,-0.541091443,0.306117728,"R2,R22,R51,R77,R104,R136,R175,R187,R216,R247",1,15,2,2708,2,2,2,3,27,1
134,0,0,Match,-0.303525009,0.453850358,"R2,R22,R57,R77,R105,R137,R179,R187,R217,R247",1,18,2,1984,2,3,4,4,47,1
135,0,0,Match,0.485353812,0.607100056,"R4,R31,R65,R100,R128,R139,R160,R201,R221,R247",1,60,2,10144,3,4,2,4,21,1
136,0,0,Match,-0.035915737,0.49985618,"R2,R25,R65,R82,R105,R135,R181,R187,R210,R230",1,12,1,1240,1,5,4,2,38,1
137,0,0,Match,0.345678977,0.484853233,"R3,R23,R51,R77,R123,R133,R175,R200,R217,R238",1,27,0,8613,5,3,2,2,27,1
138,0,1,NonMatch,0.265405936,-0.69389815,"R21,R28,R60,R79,R116,R150,R179,R191,R229,R250",3,12,2,766,4,3,4,3,66,2
139,0,0,Match,-0.072395823,-0.165189683,"R17,R27,R70,R82,R110,R147,R179,R191,R212,R230",3,15,1,2728,1,4,4,2,35,1
140,0,0,Match,0.143746595,-0.420244169,"R20,R27,R51,R78,R110,R147,R177,R191,R228,R250",4,12,2,1881,2,3,2,2,44,1
141,0,0,Match,-0.613579912,-0.410623627,"R21,R28,R51,R79,R114,R142,R174,R191,R226,R249",4,6,2,709,5,2,2,2,27,1
142,0,0,Match,0.554811234,-0.07158182,"R20,R36,R62,R95,R118,R153,R179,R205,R228,R250",3,36,2,4795,2,2,4,1,30,1
143,0,0,Match,0.187715589,-0.450721985,"R20,R27,R60,R78,R113,R147,R177,R191,R228,R250",2,27,2,3416,2,3,3,2,27,1
144,0,1,NonMatch,-0.118349168,-0.5465822,"R11,R27,R50,R78,R112,R147,R161,R191,R222,R250",2,18,2,2462,2,3,2,2,22,2
145,0,0,Match,-0.401234671,0.606954503,"R2,R23,R57,R77,R105,R136,R160,R187,R216,R239",1,21,1,2288,2,2,4,4,23,1
146,0,0,Match,0.670285931,-0.078799257,"R20,R46,R74,R97,R115,R153,R179,R195,R228,R252",3,48,3,3566,3,4,4,2,30,1
147,0,0,Match,-0.547693045,-0.399687211,"R16,R26,R69,R80,R110,R144,R169,R191,R226,R234",2,6,1,860,2,5,1,4,39,1
148,0,0,Match,0.048901307,0.574750702,"R2,R25,R65,R80,R105,R137,R179,R186,R217,R232",1,12,1,682,3,4,4,3,51,1
149,0,0,Match,0.683917083,0.124391497,"R17,R36,R61,R95,R123,R153,R177,R205,R228,R242",2,36,1,5371,2,3,3,2,28,1
150,0,0,Match,-0.00268997,0.53009895,"R2,R25,R68,R82,R107,R137,R181,R187,R217,R240",1,18,1,1582,5,5,4,4,46,1
151,0,0,Match,-0.068751981,0.609029361,"R2,R25,R65,R82,R104,R137,R169,R187,R217,R247",1,6,2,1346,3,5,2,4,42,1
152,0,0,Match,-0.479801651,0.369683405,"R2,R22,R51,R76,R104,R137,R168,R187,R217,R247",1,10,2,1924,2,3,1,4,38,1
153,0,0,Match,-0.658411888,-0.278340549,"R13,R36,R62,R95,R118,R153,R157,R204,R225,R250",4,36,2,5848,2,3,4,1,24,1
154,0,0,Match,0.494161257,0.168531306,"R16,R28,R75,R82,R123,R150,R177,R205,R228,R241",3,24,1,7758,5,5,2,4,29,1
155,0,0,Match,0.385030889,0.114184811,"R18,R27,R75,R82,R123,R149,R179,R205,R228,R238",3,24,0,6967,3,4,4,4,36,1
156,0,1,NonMatch,-0.132118081,-0.549048655,"R9,R27,R50,R78,R110,R147,R161,R191,R222,R250",2,12,2,1282,2,3,2,4,20,2
157,0,0,Match,-0.216891092,-0.09458896,"R18,R26,R75,R82,R115,R144,R169,R191,R228,R234",2,9,1,1288,3,5,3,4,48,1
158,1,0,NonMatch,0.655119689,-0.21938997,"R20,R38,R70,R84,R110,R148,R182,R193,R228,R252",2,12,3,339,2,5,4,1,45,1
159,0,0,Match,0.411202053,-0.181345651,"R20,R27,R75,R82,R115,R149,R177,R192,R228,R250",3,24,2,3512,3,4,2,3,38,1
160,0,0,Match,-0.557194702,0.329785075,"R2,R22,R51,R76,R104,R135,R168,R187,R209,R230",1,6,1,1898,1,3,1,2,34,1
161,0,0,Match,-0.081928949,0.569559989,"R2,R25,R65,R82,R105,R137,R175,R187,R217,R240",1,24,1,2872,3,5,3,4,36,1
162,0,0,Match,-0.467517451,0.415263443,"R2,R22,R56,R77,R105,R135,R179,R186,R216,R239",1,18,1,1055,2,2,4,1,30,1
163,0,0,Match,-0.046241836,0.493031097,"R2,R25,R65,R82,R107,R137,R179,R187,R217,R247",1,15,2,1262,4,4,4,3,36,1
164,0,0,Match,-0.561553002,-0.483289174,"R20,R26,R48,R78,R129,R142,R172,R206,R229,R256",3,10,2,7308,2,1,2,4,70,1
165,0,0,Match,0.356561021,0.652510601,"R4,R33,R65,R90,R107,R137,R181,R189,R219,R247",1,36,2,909,4,5,4,4,36,1
166,0,0,Match,-0.479381076,0.408495804,"R2,R22,R51,R76,R107,R135,R168,R187,R217,R244",1,6,2,2978,4,3,1,2,32,1
167,0,1,NonMatch,0.147430609,-0.409352469,"R20,R27,R59,R78,R112,R147,R179,R191,R228,R250",2,18,2,1131,2,1,4,2,33,2
168,0,0,Match,0.047386233,-0.76821235,"R12,R28,R60,R79,R115,R142,R157,R191,R224,R250",3,11,2,1577,5,2,4,1,20,1
169,0,0,Match,0.116488979,0.580489204,"R2,R25,R65,R82,R109,R139,R167,R200,R217,R247",1,24,2,3972,2,4,2,4,25,1
170,0,1,NonMatch,0.178336173,-0.118900021,"R17,R27,R70,R82,R113,R147,R181,R191,R228,R241",3,24,1,1935,2,5,4,4,31,2
171,1,1,Match,0.654619798,-0.204312494,"R20,R42,R70,R84,R110,R148,R182,R195,R228,R252",2,15,4,950,2,5,4,3,33,2
172,0,0,Match,-0.409771851,0.431565953,"R2,R22,R56,R76,R105,R135,R179,R186,R217,R244",1,12,2,763,2,3,4,1,26,1
173,1,1,Match,0.39520538,-0.461672584,"R17,R27,R59,R78,R113,R147,R177,R190,R228,R235",3,24,0,2064,2,1,3,2,34,2
174,0,0,Match,-0.207344681,-0.615517498,"R20,R26,R60,R78,R110,R142,R173,R191,R226,R250",3,8,2,1414,2,3,4,2,33,1
175,0,1,NonMatch,0.336442728,-0.48300518,"R11,R27,R51,R78,R112,R147,R177,R190,R228,R237",2,21,0,3414,2,2,2,1,26,2
176,1,1,Match,-0.75279972,-0.111101766,"R7,R38,R57,R86,R119,R140,R179,R196,R208,R243",1,30,3,7485,1,1,4,1,53,2
177,0,0,Match,0.143746595,-0.420244169,"R20,R27,R51,R78,R110,R147,R177,R191,R228,R250",2,12,2,2577,2,3,2,1,42,1
178,0,0,Match,-0.612242175,-0.3338918,"R18,R28,R75,R80,R114,R144,R169,R191,R226,R234",2,6,1,338,4,5,4,4,52,1
179,0,0,Match,-0.134222683,0.479711901,"R2,R25,R65,R82,R105,R135,R179,R187,R217,R244",1,12,2,1963,2,4,4,2,31,1
180,0,0,Match,-0.126891541,-0.21602068,"R18,R27,R70,R80,R112,R147,R181,R191,R229,R241",2,21,1,571,2,5,4,4,65,1
181,1,1,Match,-0.748616372,-0.076351243,"R4,R30,R51,R98,R119,R132,R175,R201,R220,R238",1,36,0,9572,2,2,1,1,28,2
182,0,1,NonMatch,0.604507524,0.103155621,"R15,R36,R51,R95,R113,R152,R177,R205,R228,R238",3,36,0,4455,2,3,2,2,30,2
183,1,1,Match,0.694938459,-0.235296267,"R20,R39,R60,R85,R112,R148,R179,R195,R214,R252",2,21,3,1647,1,3,4,2,40,2
184,0,0,Match,-0.308320543,0.647475775,"R2,R23,R57,R77,R107,R137,R180,R187,R217,R240",1,24,1,3777,5,3,4,4,50,1
185,0,1,NonMatch,0.15936827,-0.166574939,"R18,R27,R70,R80,R112,R147,R181,R191,R228,R241",3,18,1,884,2,5,4,4,36,2
