Instance,x,y,class,Pred_class,Matches,Pie,Mixnew,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,class_new,Stress
54,-0.454264092,-0.284543054,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.5,2.3,4,1.3,2,0.079682076
55,-0.364155747,-0.505786629,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.5,2.8,4.6,1.5,2,0.134117106
56,-0.454264085,-0.28454306,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.7,2.8,4.5,1.3,2,0.079682076
57,-0.364172101,-0.505780785,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.3,3.3,4.7,1.6,2,0.134117179
58,-0.058793896,-0.279212854,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",4.9,2.4,3.3,1,2,0.224032467
59,-0.364139717,-0.505792351,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.6,2.9,4.6,1.3,2,0.134117036
60,-0.058787435,-0.279223964,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",5.2,2.7,3.9,1.4,2,0.224032658
61,-0.05881151,-0.279182572,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",5,2,3.5,1,2,0.224031948
62,-0.454264086,-0.284543059,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.9,3,4.2,1.5,2,0.079682076
63,-0.45426409,-0.284543057,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6,2.2,4,1,2,0.079682076
64,-0.45426409,-0.284543056,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6.1,2.9,4.7,1.4,2,0.079682076
65,-0.454264089,-0.284543057,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.6,2.9,3.6,1.3,2,0.079682076
66,-0.364159023,-0.505785458,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.7,3.1,4.4,1.4,2,0.13411712
67,-0.454264092,-0.284543055,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.6,3,4.5,1.5,2,0.079682076
68,-0.454264092,-0.284543054,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.8,2.7,4.1,1,2,0.079682076
69,-0.364154767,-0.505786979,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.2,2.2,4.5,1.5,2,0.134117102
70,-0.454264044,-0.284543096,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.6,2.5,3.9,1.1,2,0.079682076
71,-0.33025409,0.374120497,Iris-versicolor,Iris-virginica,NonMatch,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.9,3.2,4.8,1.8,2,0.059308587
72,-0.454264069,-0.284543074,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6.1,2.8,4,1.3,2,0.079682076
73,-0.212226595,-0.66680675,Iris-versicolor,Iris-versicolor,Match,"0.0,71.50326797385621,28.49673202614379","R3,R7,R10",6.3,2.5,4.9,1.5,2,0.245275302
74,-0.454264078,-0.284543066,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6.1,2.8,4.7,1.2,2,0.079682076
75,-0.364161957,-0.505784409,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.4,2.9,4.3,1.3,2,0.134117133
76,-0.364154606,-0.505787036,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.6,3,4.4,1.4,2,0.134117101
77,-0.364137559,-0.505793111,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.8,2.8,4.8,1.4,2,0.134117027
78,-0.212292003,-0.666801579,Iris-versicolor,Iris-versicolor,Match,"0.0,71.50326797385621,28.49673202614379","R3,R7,R10",6.7,3,5,1.7,2,0.245275554
79,-0.45426409,-0.284543056,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6,2.9,4.5,1.5,2,0.079682076
80,-0.454264092,-0.284543054,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.7,2.6,3.5,1,2,0.079682076
81,-0.454264089,-0.284543057,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.5,2.4,3.8,1.1,2,0.079682076
82,-0.454264085,-0.28454306,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.5,2.4,3.7,1,2,0.079682076
83,-0.454264092,-0.284543055,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.8,2.7,3.9,1.2,2,0.079682076
84,-0.584352133,-0.146170858,Iris-versicolor,Iris-versicolor,Match,"0.0,69.7671568627451,30.2328431372549","R2,R7,R10",6,2.7,5.1,1.6,2,0.184260119
85,-0.058783453,-0.279230811,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",5.4,3,4.5,1.5,2,0.224032776
86,-0.454264091,-0.284543055,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6,3.4,4.5,1.6,2,0.079682076
87,-0.364175779,-0.50577947,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.7,3.1,4.7,1.5,2,0.134117195
88,-0.364163151,-0.505783983,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.3,2.3,4.4,1.3,2,0.134117139
89,-0.454264071,-0.284543072,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.6,3,4.1,1.3,2,0.079682076
90,-0.454264077,-0.284543067,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.5,2.5,4,1.3,2,0.079682076
91,-0.454264091,-0.284543055,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.5,2.6,4.4,1.2,2,0.079682076
92,-0.454264084,-0.284543061,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",6.1,3,4.6,1.4,2,0.079682076
93,-0.454264087,-0.284543059,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.8,2.6,4,1.2,2,0.079682076
94,-0.058796293,-0.279208733,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",5,2.3,3.3,1,2,0.224032396
95,-0.454264091,-0.284543055,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.6,2.7,4.2,1.3,2,0.079682076
96,-0.454264092,-0.284543054,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.7,3,4.2,1.2,2,0.079682076
97,-0.454264092,-0.284543054,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.7,2.9,4.2,1.3,2,0.079682076
98,-0.364160991,-0.505784755,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.2,2.9,4.3,1.3,2,0.134117129
99,-0.058784182,-0.279229557,Iris-versicolor,Iris-versicolor,Match,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",5.1,2.5,3,1.1,2,0.224032755
100,-0.454264091,-0.284543056,Iris-versicolor,Iris-versicolor,Match,"0.0,89.7671568627451,10.232843137254903","R2,R6,R10",5.7,2.8,4.1,1.3,2,0.079682076
101,-0.129973152,0.600406318,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.3,3.3,6,2.5,3,0.093143549
102,-0.330254023,0.37412049,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.8,2.7,5.1,1.9,3,0.059308588
103,-0.129973192,0.600406312,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.1,3,5.9,2.1,3,0.09314355
104,-0.129973198,0.600406311,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.3,2.9,5.6,1.8,3,0.09314355
105,-0.129973117,0.600406324,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.5,3,5.8,2.2,3,0.093143549
106,-0.129973109,0.600406325,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.6,3,6.6,2.1,3,0.093143549
107,-0.058786413,-0.279225722,Iris-virginica,Iris-versicolor,NonMatch,"30.392156862745097,62.31617647058824,7.291666666666667","R2,R6,R9",4.9,2.5,4.5,1.7,3,0.224032689
108,-0.129973121,0.600406323,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.3,2.9,6.3,1.8,3,0.093143549
109,-0.129973103,0.600406326,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.7,2.5,5.8,1.8,3,0.093143549
110,-0.129973164,0.600406316,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.2,3.6,6.1,2.5,3,0.093143549
111,-0.129973099,0.600406327,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.5,3.2,5.1,2,3,0.093143549
112,-0.129973157,0.600406318,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.4,2.7,5.3,1.9,3,0.093143549
113,-0.129973108,0.600406325,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.8,3,5.5,2.1,3,0.093143549
114,-0.330254325,0.374120523,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.7,2.5,5,2,3,0.059308586
115,-0.330253781,0.374120463,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.8,2.8,5.1,2.4,3,0.059308588
116,-0.129973164,0.600406316,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.4,3.2,5.3,2.3,3,0.093143549
117,-0.12997312,0.600406323,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.5,3,5.5,1.8,3,0.093143549
118,-0.129973117,0.600406324,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.7,3.8,6.7,2.2,3,0.093143549
119,-0.129973096,0.600406327,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.7,2.6,6.9,2.3,3,0.093143549
120,-0.584366411,-0.146185992,Iris-virginica,Iris-versicolor,NonMatch,"0.0,69.7671568627451,30.2328431372549","R2,R7,R10",6,2.2,5,1.5,3,0.184259983
121,-0.129973113,0.600406324,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.9,3.2,5.7,2.3,3,0.093143549
122,-0.330242729,0.374119254,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.6,2.8,4.9,2,3,0.059308629
123,-0.129973113,0.600406324,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.7,2.8,6.7,2,3,0.093143549
124,-0.12997315,0.600406319,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.3,2.7,4.9,1.8,3,0.093143549
125,-0.129973142,0.60040632,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.7,3.3,5.7,2.1,3,0.093143549
126,-0.129973167,0.600406316,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.2,3.2,6,1.8,3,0.093143549
127,-0.129973148,0.600406319,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.2,2.8,4.8,1.8,3,0.093143549
128,-0.330252669,0.374120342,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",6.1,3,4.9,1.8,3,0.059308592
129,-0.129973145,0.600406319,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.4,2.8,5.6,2.1,3,0.093143549
130,-0.221175753,-0.664032203,Iris-virginica,Iris-versicolor,NonMatch,"0.0,71.50326797385621,28.49673202614379","R3,R7,R10",7.2,3,5.8,1.6,3,0.245378168
131,-0.129973108,0.600406325,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.4,2.8,6.1,1.9,3,0.093143549
132,-0.129973123,0.600406323,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.9,3.8,6.4,2,3,0.093143549
133,-0.129973213,0.600406309,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.4,2.8,5.6,2.2,3,0.09314355
134,-0.212505613,-0.666784716,Iris-virginica,Iris-versicolor,NonMatch,"0.0,71.50326797385621,28.49673202614379","R3,R7,R10",6.3,2.8,5.1,1.5,3,0.24527642
135,-0.584843598,-0.1467678,Iris-virginica,Iris-versicolor,NonMatch,"0.0,69.7671568627451,30.2328431372549","R2,R7,R10",6.1,2.6,5.6,1.4,3,0.184255821
136,-0.129973197,0.600406311,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",7.7,3,6.1,2.3,3,0.09314355
137,-0.129973146,0.600406319,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.3,3.4,5.6,2.4,3,0.093143549
138,-0.12997316,0.600406317,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.4,3.1,5.5,1.8,3,0.093143549
139,-0.330247261,0.37411975,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",6,3,4.8,1.8,3,0.059308612
140,-0.129973202,0.60040631,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.9,3.1,5.4,2.1,3,0.09314355
141,-0.12997318,0.600406314,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.7,3.1,5.6,2.4,3,0.093143549
142,-0.129973203,0.60040631,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.9,3.1,5.1,2.3,3,0.09314355
143,-0.330254509,0.374120543,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.8,2.7,5.1,1.9,3,0.059308586
144,-0.129973168,0.600406316,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.8,3.2,5.9,2.3,3,0.093143549
145,-0.129973082,0.600406329,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.7,3.3,5.7,2.5,3,0.093143549
146,-0.129973109,0.600406325,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.7,3,5.2,2.3,3,0.093143549
147,-0.129973142,0.60040632,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.3,2.5,5,1.9,3,0.093143549
148,-0.129973147,0.600406319,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.5,3,5.2,2,3,0.093143549
149,-0.129973128,0.600406322,Iris-virginica,Iris-virginica,Match,"0.0,2.0202020202020203,97.97979797979798","R4,R8,R12",6.2,3.4,5.4,2.3,3,0.093143549
150,-0.330242579,0.374119238,Iris-virginica,Iris-virginica,Match,"0.0,28.061868686868685,71.93813131313132","R2,R8,R12",5.9,3,5.1,1.8,3,0.059308629
151,-0.537051927,-0.619015079,dummy,dummy,Match,,,,,,,dummy,
152,-0.537051927,-0.571223408,dummy,dummy,Match,,,,,,,dummy,
153,-0.537051927,-0.523431738,dummy,dummy,Match,,,,,,,dummy,
154,-0.537051927,-0.475640067,dummy,dummy,Match,,,,,,,dummy,
155,-0.537051927,-0.427848396,dummy,dummy,Match,,,,,,,dummy,
156,-0.537051927,-0.380056725,dummy,dummy,Match,,,,,,,dummy,
157,-0.537051927,-0.332265055,dummy,dummy,Match,,,,,,,dummy,
158,-0.537051927,-0.284473384,dummy,dummy,Match,,,,,,,dummy,
159,-0.537051927,-0.236681713,dummy,dummy,Match,,,,,,,dummy,
160,-0.537051927,-0.188890043,dummy,dummy,Match,,,,,,,dummy,
161,-0.537051927,-0.093306701,dummy,dummy,Match,,,,,,,dummy,
162,-0.537051927,-0.04551503,dummy,dummy,Match,,,,,,,dummy,
163,-0.537051927,0.00227664,dummy,dummy,Match,,,,,,,dummy,
164,-0.537051927,0.050068311,dummy,dummy,Match,,,,,,,dummy,
