x,y,class_pred,class_orig,Matches,Instance,Mixnew,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
0.388038068,-0.127937589,6,5,Non,76,"R22,R50,R85,R118,R139,R173,R197,R233,R260,R287",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
0.388038068,-0.127937589,6,5,Non,77,"R22,R50,R85,R118,R139,R173,R197,R233,R260,R287",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
0.376407505,0.385037297,6,6,Match,78,"R9,R55,R85,R108,R140,R174,R192,R228,R254,R287",6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7
-0.285796856,0.436662761,5,5,Match,79,"R9,R39,R67,R92,R126,R165,R184,R220,R241,R284",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1
-0.296420188,-0.693659475,5,4,Non,80,"R17,R42,R72,R100,R129,R171,R186,R219,R249,R291",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1
-0.510321306,-0.01020533,5,5,Match,81,"R3,R38,R69,R90,R127,R166,R183,R218,R239,R282",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2
-0.52779883,-0.331921597,5,5,Match,82,"R17,R38,R69,R90,R127,R166,R207,R219,R247,R282",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4
-0.508135536,-0.015625483,5,5,Match,83,"R15,R38,R69,R89,R127,R166,R206,R218,R239,R282",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1
-0.556223523,-0.202266435,5,5,Match,84,"R17,R39,R69,R90,R127,R166,R185,R219,R247,R284",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4
0.580602709,-0.479769653,6,6,Match,85,"R21,R58,R80,R109,R137,R162,R203,R234,R261,R277",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3
-0.258897182,-0.366441846,5,5,Match,86,"R21,R38,R70,R92,R127,R167,R185,R223,R247,R282",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1
-0.110526871,0.673013177,5,6,Non,87,"R22,R44,R70,R101,R129,R169,R185,R223,R248,R292",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
-0.470713578,-0.36247394,5,5,Match,88,"R18,R38,R69,R91,R127,R166,R185,R219,R247,R282",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
-0.270763095,-0.697687799,5,5,Match,89,"R17,R44,R72,R102,R129,R163,R208,R219,R249,R280",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5
-0.61754872,0.25093934,5,5,Match,90,"R15,R38,R67,R89,R126,R164,R182,R216,R238,R281",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9
-0.354276355,0.620505833,5,5,Match,91,"R9,R44,R72,R102,R129,R171,R183,R218,R239,R291",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5
-0.760078913,0.132051921,5,6,Non,92,"R22,R44,R70,R101,R129,R169,R185,R223,R248,R292",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
-0.745066373,-0.133041373,5,5,Match,93,"R17,R44,R69,R101,R129,R169,R185,R219,R248,R292",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8
-0.470713578,-0.36247394,5,5,Match,94,"R18,R38,R69,R91,R127,R166,R185,R219,R247,R282",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
0.438540081,0.40329476,6,4,Non,95,"R4,R56,R85,R108,R140,R174,R192,R228,R257,R287",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
0.488943311,0.554046683,6,6,Match,96,"R27,R53,R85,R108,R148,R179,R193,R230,R254,R290",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9
0.274811885,0.278537608,6,5,Non,97,"R9,R50,R85,R107,R139,R172,R192,R228,R254,R287",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7
-0.543140563,-0.291627615,5,5,Match,98,"R17,R38,R69,R90,R127,R166,R185,R219,R243,R282",7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2
-0.400407035,0.078360413,5,5,Match,99,"R9,R39,R69,R92,R127,R166,R184,R218,R241,R284",7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8
-0.46927738,-0.44693908,5,6,Non,100,"R18,R38,R69,R89,R127,R166,R181,R216,R247,R282",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
-0.204951945,-0.37857291,5,6,Non,101,"R21,R38,R70,R92,R127,R167,R197,R223,R247,R282",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2
0.253323368,0.240429696,6,6,Match,102,"R9,R50,R85,R107,R139,R172,R197,R229,R254,R287",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4
-0.46927738,-0.44693908,5,6,Non,103,"R18,R38,R69,R89,R127,R166,R181,R216,R247,R282",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
-0.48338175,0.338671719,5,5,Match,104,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
-0.48338175,0.338671719,5,5,Match,105,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4
-0.48338175,0.338671719,5,5,Match,106,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
-0.52779883,-0.331921597,5,5,Match,107,"R17,R38,R69,R90,R127,R166,R207,R219,R247,R282",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3
-0.500125794,-0.33978288,5,5,Match,108,"R18,R38,R69,R90,R127,R166,R207,R219,R247,R282",6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3
-0.076841617,-0.761354566,6,6,Match,109,"R18,R34,R64,R91,R123,R163,R207,R215,R246,R279",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
-0.313717362,-0.667792867,5,5,Match,110,"R17,R44,R72,R102,R129,R171,R208,R219,R249,R291",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3
-0.51156557,-0.307025738,5,5,Match,111,"R17,R38,R69,R90,R127,R166,R185,R219,R247,R282",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
-0.714679415,-0.043943974,5,5,Match,112,"R17,R44,R69,R102,R129,R171,R185,R219,R249,R291",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8
-0.714869679,-0.044985463,5,5,Match,113,"R17,R44,R69,R102,R129,R171,R185,R219,R249,R291",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8
0.060911973,-0.729301168,6,6,Match,114,"R20,R34,R64,R95,R122,R157,R195,R215,R246,R276",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7
-0.51156557,-0.307025738,5,5,Match,115,"R17,R38,R69,R90,R127,R166,R185,R219,R247,R282",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
0.316233616,0.014366526,6,6,Match,116,"R21,R50,R85,R118,R140,R160,R203,R229,R255,R266",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5
-0.258897182,-0.366441846,5,6,Non,117,"R21,R38,R70,R92,R127,R167,R185,R223,R247,R282",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10
-0.514126243,0.343846357,5,6,Non,118,"R15,R38,R67,R90,R126,R165,R183,R218,R239,R281",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4
0.494370121,0.319036711,6,6,Match,119,"R27,R55,R85,R118,R140,R174,R192,R228,R254,R287",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
-0.461584323,0.412648382,5,6,Non,120,"R9,R39,R67,R90,R126,R165,R183,R218,R239,R284",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2
-0.60746023,-0.031530082,5,5,Match,121,"R9,R39,R69,R89,R127,R166,R181,R216,R238,R283",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9
0.494370121,0.319036711,6,6,Match,122,"R27,R55,R85,R118,R140,R174,R192,R228,R254,R287",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
-0.489664326,0.415828616,5,5,Match,123,"R15,R39,R67,R90,R126,R165,R183,R218,R239,R284",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2
-0.489664326,0.415828616,5,5,Match,124,"R15,R39,R67,R90,R126,R165,R183,R218,R239,R284",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5
-0.384662511,0.59163679,5,5,Match,125,"R9,R44,R67,R102,R129,R171,R183,R218,R239,R291",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5
-0.604932404,-0.427633737,5,5,Match,126,"R17,R40,R72,R96,R127,R166,R186,R219,R249,R282",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4
0.047941553,0.225034432,5,5,Match,127,"R9,R50,R83,R115,R139,R172,R190,R225,R250,R286",8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9
0.04668299,0.27538074,5,5,Match,128,"R9,R50,R83,R115,R139,R172,R190,R225,R250,R286",8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9
0.27836815,-0.130650562,6,7,Non,129,"R21,R50,R83,R109,R139,R173,R192,R232,R260,R287",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5
-0.487260936,0.110424161,5,5,Match,130,"R9,R38,R69,R90,R127,R156,R183,R218,R239,R265",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4
-0.313717362,-0.667792867,5,5,Match,131,"R17,R44,R72,R102,R129,R171,R208,R219,R249,R291",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4
0.465183197,0.559035053,6,5,Non,132,"R26,R55,R85,R108,R148,R179,R193,R230,R254,R290",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
0.465183324,0.559034963,6,5,Non,133,"R26,R55,R85,R108,R148,R179,R193,R230,R254,R290",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
-0.438648291,-0.270940837,5,6,Non,134,"R3,R38,R69,R91,R127,R166,R185,R219,R241,R282",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8
-0.2471128,0.403676291,5,6,Non,135,"R9,R39,R68,R92,R126,R165,R184,R223,R241,R284",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9
-0.519487924,-0.198406602,5,5,Match,136,"R17,R39,R69,R92,R127,R166,R185,R219,R247,R284",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
-0.556223523,-0.202266435,5,5,Match,137,"R17,R39,R69,R90,R127,R166,R185,R219,R247,R284",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
-0.518854006,-0.336067129,5,5,Match,138,"R18,R38,R69,R90,R127,R166,R196,R219,R247,R282",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2
-0.384662511,0.59163679,5,5,Match,139,"R9,R44,R67,R102,R129,R171,R183,R218,R239,R291",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5
-0.384662511,0.59163679,5,5,Match,140,"R9,R44,R67,R102,R129,R171,R183,R218,R239,R291",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5
-0.519487924,-0.198406602,5,5,Match,141,"R17,R39,R69,R92,R127,R166,R185,R219,R247,R284",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
-0.556223523,-0.202266435,5,5,Match,142,"R17,R39,R69,R90,R127,R166,R185,R219,R247,R284",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
0.298552917,0.697604013,6,6,Match,143,"R26,R58,R80,R110,R148,R155,R188,R234,R262,R277",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
-0.522234323,-0.094938797,5,5,Match,144,"R3,R38,R69,R90,R127,R156,R185,R219,R239,R265",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4
0.298552932,0.697604008,6,6,Match,145,"R26,R58,R80,R110,R148,R155,R188,R234,R262,R277",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
-0.74118485,0.085307297,5,5,Match,146,"R17,R44,R72,R102,R129,R171,R208,R219,R249,R291",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4
-0.25407812,0.522748953,5,5,Match,147,"R9,R39,R67,R97,R126,R165,R184,R220,R241,R290",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10
