Instance,Pred_class,class,Matches,variance,skewness,curtosis,entropy,Mixnew,Stress,x,y
30,0,0,Match,4.8906,-3.3584,3.4202,1.0905,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
31,0,0,Match,-0.24811,-0.17797,4.9068,0.15429,"R7,R21,R35,R47,R61,R79,R98,R108,R131,R152,R164,R181",0.330059193,0.12265511,-0.258586579
32,0,0,Match,1.4884,3.6274,3.308,0.48921,"R11,R21,R38,R53,R70,R84,R99,R111,R138,R155,R168,R188",0.281360838,0.389466329,0.447120306
33,0,0,Match,4.2969,7.617,-2.3874,-0.96164,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
34,0,0,Match,-0.96511,9.4111,1.7305,-4.8629,"R9,R26,R46,R55,R65,R81,R102,R116,R126,R147,R176,R185",0.259003169,-0.658667754,-0.166166736
35,1,0,NonMatch,-1.6162,0.80908,8.1628,0.60817,"R5,R21,R30,R47,R62,R79,R98,R104,R128,R140,R164,R181",0.298855225,0.27181169,-0.631532773
36,0,0,Match,2.4391,6.4417,-0.80743,-0.69139,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
37,0,0,Match,2.6881,6.0195,-0.46641,-0.69268,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
38,0,0,Match,3.6289,0.81322,1.6277,0.77627,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
39,0,0,Match,4.5679,3.1929,-2.1055,0.29653,"R17,R22,R40,R52,R74,R90,R93,R114,R138,R155,R171,R194",0.219778589,-0.101456952,0.594158798
40,0,0,Match,3.4805,9.7008,-3.7541,-3.4379,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
41,0,0,Match,4.1711,8.722,-3.0224,-0.59699,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
42,0,0,Match,-0.2062,9.2207,-3.7044,-6.8103,"R9,R26,R41,R55,R65,R81,R102,R116,R124,R154,R173,R182",0.271331485,-0.703861884,-0.113614003
43,0,0,Match,-0.0068919,9.2931,-0.41243,-1.9638,"R9,R26,R41,R55,R65,R81,R102,R117,R124,R154,R176,R183",0.239379028,-0.659238374,-0.025540642
44,0,0,Match,0.96441,5.8395,2.3235,0.066365,"R13,R26,R46,R55,R69,R84,R102,R119,R138,R157,R176,R189",0.264844406,-0.485100503,-0.003220519
45,0,0,Match,2.8561,6.9176,-0.79372,0.48403,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
46,0,0,Match,-0.7869,9.5663,-3.7867,-7.5034,"R9,R26,R41,R55,R65,R81,R102,R116,R120,R147,R173,R182",0.273218671,-0.701460867,-0.139389605
47,0,0,Match,2.0843,6.6258,0.48382,-2.2134,"R15,R26,R45,R55,R74,R90,R102,R119,R138,R157,R176,R194",0.19729795,-0.325755619,0.252261566
48,0,0,Match,-0.7869,9.5663,-3.7867,-7.5034,"R9,R26,R41,R55,R65,R81,R102,R116,R120,R147,R173,R182",0.273218671,-0.701460867,-0.139389602
49,0,0,Match,3.9102,6.065,-2.4534,-0.68234,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
50,0,0,Match,1.6349,3.286,2.8753,0.087054,"R11,R22,R39,R53,R69,R84,R99,R111,R138,R155,R171,R188",0.25619919,0.306614293,0.554235245
51,0,0,Match,4.3239,-4.8835,3.4356,-0.5776,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
52,0,0,Match,5.262,3.9834,-1.5572,1.0103,"R17,R23,R40,R53,R74,R90,R95,R114,R138,R157,R171,R194",0.214657981,-0.164765687,0.558565612
53,0,0,Match,3.1452,5.825,-0.51439,-1.4944,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
54,0,0,Match,2.549,6.1499,-1.1605,-1.2371,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
55,0,0,Match,4.9264,5.496,-2.4774,-0.50648,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
56,0,0,Match,4.8265,0.80287,1.6371,1.1875,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
57,0,0,Match,2.5635,6.7769,-0.61979,0.38576,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
58,0,0,Match,5.807,5.0097,-2.2384,0.43878,"R17,R23,R40,R52,R74,R90,R93,R114,R138,R157,R171,R194",0.23347209,-0.206158025,0.567568547
59,0,0,Match,3.1377,-4.1096,4.5701,0.98963,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
60,0,0,Match,-0.78289,11.3603,-0.37644,-7.0495,"R9,R26,R43,R55,R65,R81,R102,R116,R120,R147,R173,R184",0.283562919,-0.659734667,-0.255121121
61,0,0,Match,2.888,0.44696,4.5907,-0.24398,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
62,0,0,Match,0.49665,5.527,1.7785,-0.47156,"R13,R26,R46,R55,R69,R84,R102,R119,R131,R154,R176,R185",0.279902811,-0.538798214,-0.124901035
63,0,0,Match,4.2586,11.2962,-4.0943,-4.3457,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
64,0,0,Match,1.7939,-1.1174,1.5454,-0.26079,"R15,R22,R39,R53,R74,R84,R99,R109,R138,R155,R171,R193",0.240468451,0.22029281,0.576770542
65,0,0,Match,5.4021,3.1039,-1.1536,1.5651,"R17,R22,R40,R53,R74,R90,R95,R114,R139,R155,R171,R194",0.229677827,-0.068124569,0.628731117
66,0,0,Match,2.5367,2.599,2.0938,0.20085,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
67,0,0,Match,4.6054,-4.0765,2.7587,0.31981,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
68,0,0,Match,2.4235,9.5332,-3.0789,-2.7746,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
69,0,0,Match,1.0009,7.7846,-0.28219,-2.6608,"R13,R26,R45,R55,R69,R84,R102,R117,R138,R157,R176,R189",0.255706528,-0.494284437,0.052017968
70,0,0,Match,0.12326,8.9848,-0.9351,-2.4332,"R9,R26,R41,R55,R65,R81,R102,R117,R124,R154,R176,R182",0.239653032,-0.666019445,-0.019004771
71,0,0,Match,3.9529,-2.3548,2.3792,0.48274,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
72,0,0,Match,4.1373,0.49248,1.093,1.8276,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
73,0,0,Match,4.7181,10.0153,-3.9486,-3.8582,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
74,0,0,Match,4.1654,-3.4495,3.643,1.0879,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
75,0,0,Match,4.4069,10.9072,-4.5775,-4.4271,"R17,R19,R41,R55,R74,R88,R102,R117,R134,R149,R176,R194",0.236511351,-0.525670598,0.362171552
76,0,0,Match,2.3066,3.5364,0.57551,0.41938,"R15,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.202034116,0.068830651,0.566559883
77,0,0,Match,3.7935,7.9853,-2.5477,-1.872,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
78,0,0,Match,0.049175,6.1437,1.7828,-0.72113,"R3,R26,R46,R55,R62,R81,R102,R119,R131,R154,R176,R185",0.279489766,-0.524363294,-0.198228177
79,0,0,Match,0.24835,7.6439,0.9885,-0.87371,"R9,R26,R46,R55,R65,R81,R102,R119,R131,R154,R176,R185",0.25950768,-0.619923123,-0.163043841
80,0,0,Match,1.1317,3.9647,3.3979,0.84351,"R11,R21,R38,R50,R70,R85,R99,R111,R138,R157,R164,R188",0.326483897,0.38577887,0.330068045
81,0,0,Match,2.8033,9.0862,-3.3668,-1.0224,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
82,0,0,Match,4.4682,2.2907,0.95766,0.83058,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
83,0,0,Match,5.0185,8.5978,-2.9375,-1.281,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
84,0,0,Match,1.8664,7.7763,-0.23849,-2.9634,"R15,R26,R44,R55,R74,R90,R102,R117,R138,R157,R176,R193",0.218339691,-0.359413182,0.200806221
85,0,0,Match,3.245,6.63,-0.63435,0.86937,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
86,0,0,Match,4.0296,2.6756,0.80685,0.71679,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
87,1,0,NonMatch,-1.1313,1.9037,7.5339,1.022,"R7,R21,R32,R47,R62,R79,R98,R104,R127,R141,R164,R181",0.328065355,0.330739066,-0.642374075
88,0,0,Match,0.87603,6.8141,0.84198,-0.17156,"R13,R26,R45,R55,R69,R84,R102,R119,R138,R157,R176,R189",0.26776938,-0.473426239,0.007585671
89,0,0,Match,4.1197,-2.7956,2.0707,0.67412,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
90,0,0,Match,3.8027,0.81529,2.1041,1.0245,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
91,0,0,Match,1.4806,7.6377,-2.7876,-1.0341,"R13,R26,R41,R55,R67,R83,R102,R117,R137,R157,R176,R189",0.240299134,-0.630374232,0.112044328
92,0,0,Match,4.0632,3.584,0.72545,0.39481,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
93,0,0,Match,4.3064,8.2068,-2.7824,-1.4336,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
94,0,0,Match,2.4486,-6.3175,7.9632,0.20602,"R17,R22,R40,R53,R74,R90,R97,R112,R138,R155,R171,R194",0.201569329,-0.036804533,0.58402516
95,0,0,Match,3.2718,1.7837,2.1161,0.61334,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
96,1,0,NonMatch,-0.64472,-4.6062,8.347,-2.7099,"R7,R20,R29,R47,R60,R79,R98,R103,R128,R140,R162,R177",0.256236698,0.000638986,-0.527580883
97,0,0,Match,2.9543,1.076,0.64577,0.89394,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
98,0,0,Match,2.1616,-6.8804,8.1517,-0.081048,"R15,R22,R40,R53,R74,R90,R97,R112,R138,R155,R171,R194",0.216689494,0.066873198,0.597041474
99,0,0,Match,3.82,10.9279,-4.0112,-5.0284,"R17,R26,R41,R55,R74,R88,R102,R116,R137,R157,R176,R194",0.196408332,-0.513395924,0.262839721
100,0,0,Match,-2.7419,11.4038,2.5394,-5.5793,"R9,R26,R46,R55,R65,R81,R102,R116,R126,R147,R176,R185",0.259003169,-0.658667754,-0.166166736
101,0,0,Match,3.3669,-5.1856,3.6935,-1.1427,"R17,R22,R40,R53,R74,R90,R97,R112,R138,R155,R171,R194",0.201569329,-0.036804533,0.58402516
102,0,0,Match,4.5597,-2.4211,2.6413,1.6168,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
103,0,0,Match,5.1129,-0.49871,0.62863,1.1189,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
104,0,0,Match,3.3397,-4.6145,3.9823,-0.23751,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
105,0,0,Match,4.2027,0.22761,0.96108,0.97282,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
106,0,0,Match,3.5438,1.2395,1.997,2.1547,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
107,0,0,Match,2.3136,10.6651,-3.5288,-4.7672,"R14,R26,R41,R55,R74,R88,R102,R116,R137,R157,R176,R194",0.216153582,-0.56016823,0.227227408
108,0,0,Match,-1.8584,7.886,-1.6643,-1.8384,"R9,R26,R41,R55,R65,R81,R102,R117,R121,R145,R176,R182",0.25859898,-0.624160728,-0.04552566
109,0,0,Match,3.106,9.5414,-4.2536,-4.003,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
110,0,0,Match,2.9163,10.8306,-3.3437,-4.122,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
111,0,0,Match,3.9922,-4.4676,3.7304,-0.1095,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
112,0,0,Match,1.518,5.6946,0.094818,-0.026738,"R13,R26,R45,R55,R69,R84,R102,R117,R138,R157,R176,R189",0.255706528,-0.494284437,0.052017968
113,0,0,Match,3.2351,9.647,-3.2074,-2.5948,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
114,0,0,Match,4.2188,6.8162,-1.2804,0.76076,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
115,0,0,Match,1.7819,6.9176,-1.2744,-1.5759,"R15,R26,R41,R55,R74,R84,R102,R117,R138,R157,R176,R193",0.216933355,-0.438799144,0.155582971
116,0,0,Match,2.5331,2.9135,-0.822,-0.12243,"R17,R22,R40,R53,R74,R90,R93,R114,R138,R155,R171,R194",0.2047452,-0.064797365,0.581630026
117,0,0,Match,3.8969,7.4163,-1.8245,0.14007,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
118,0,0,Match,2.108,6.7955,-0.1708,0.4905,"R15,R26,R45,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.178215292,-0.353546343,0.274307347
119,0,0,Match,2.8969,0.70768,2.29,1.8663,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
120,0,0,Match,0.9297,-3.7971,4.6429,-0.2957,"R11,R21,R38,R50,R69,R84,R99,R108,R138,R155,R163,R188",0.299768016,0.420975319,0.40067004
121,0,0,Match,3.4642,10.6878,-3.4071,-4.109,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
122,0,0,Match,4.0713,10.4023,-4.1722,-4.7582,"R17,R26,R41,R55,R74,R88,R102,R116,R137,R157,R176,R194",0.196408332,-0.513395924,0.262839721
123,0,0,Match,-1.4572,9.1214,1.7425,-5.1241,"R9,R26,R46,R55,R65,R81,R102,R116,R126,R145,R176,R185",0.260622476,-0.661861882,-0.158264375
124,1,0,NonMatch,-1.5075,1.9224,7.1466,0.89136,"R7,R21,R31,R47,R62,R79,R98,R104,R127,R141,R164,R181",0.328320367,0.120650487,-0.32359021
125,0,0,Match,-0.91718,9.9884,1.1804,-5.2263,"R9,R26,R46,R55,R65,R81,R102,R116,R126,R147,R176,R185",0.259003169,-0.658667754,-0.166166736
126,0,0,Match,2.994,7.2011,-1.2153,0.3211,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
127,0,0,Match,-2.343,12.9516,3.3285,-5.9426,"R9,R26,R46,R55,R65,R81,R102,R116,R126,R147,R176,R185",0.259003169,-0.658667754,-0.166166736
128,0,0,Match,3.7818,-2.8846,2.2558,-0.15734,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
129,0,0,Match,4.6689,1.3098,0.055404,1.909,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
130,0,0,Match,3.4663,1.1112,1.7425,1.3388,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
131,0,0,Match,3.2697,-4.3414,3.6884,-0.29829,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
132,0,0,Match,5.1302,8.6703,-2.8913,-1.5086,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
133,0,0,Match,2.0139,6.1416,0.37929,0.56938,"R15,R26,R45,R55,R74,R90,R102,R119,R138,R157,R176,R193",0.234203053,-0.337130231,0.17026226
134,0,0,Match,0.4339,5.5395,2.033,-0.40432,"R13,R26,R46,R55,R69,R84,R102,R119,R131,R154,R176,R185",0.279902811,-0.538798214,-0.124901035
135,0,0,Match,-1.0401,9.3987,0.85998,-5.3336,"R9,R26,R43,R55,R65,R81,R102,R116,R126,R147,R176,R184",0.264029427,-0.676734383,-0.165492126
136,0,0,Match,4.1605,11.2196,-3.6136,-4.0819,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
137,0,0,Match,5.438,9.4669,-4.9417,-3.9202,"R17,R19,R41,R55,R73,R87,R102,R117,R134,R149,R176,R190",0.285957736,-0.685223819,0.166865545
138,0,0,Match,5.032,8.2026,-2.6256,-1.0341,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
139,0,0,Match,5.2418,10.5388,-4.1174,-4.2797,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
140,0,0,Match,-0.2062,9.2207,-3.7044,-6.8103,"R9,R26,R41,R55,R65,R81,R102,R116,R124,R154,R173,R182",0.271331485,-0.703861884,-0.113614003
141,0,0,Match,2.0911,0.94358,4.5512,1.234,"R15,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.197364415,0.05650555,0.57343151
142,0,0,Match,1.7317,-0.34765,4.1905,-0.99138,"R11,R22,R39,R53,R69,R84,R99,R109,R138,R155,R171,R188",0.256148487,0.306282111,0.556963331
143,0,0,Match,4.1736,3.3336,-1.4244,0.60429,"R17,R22,R40,R53,R74,R90,R93,R114,R138,R155,R171,R194",0.2047452,-0.064797365,0.581630026
144,0,0,Match,3.9232,-3.2467,3.4579,0.83705,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
145,0,0,Match,3.8481,10.1539,-3.8561,-4.2228,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
146,0,0,Match,0.5195,-3.2633,3.0895,-0.9849,"R11,R21,R35,R50,R69,R84,R99,R108,R129,R152,R163,R188",0.331201496,0.539889473,0.368463279
147,0,0,Match,3.8584,0.78425,1.1033,1.7008,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
148,0,0,Match,1.7496,-0.1759,5.1827,1.2922,"R15,R22,R39,R53,R74,R86,R99,R109,R138,R155,R171,R193",0.248196821,0.217640391,0.60691909
149,0,0,Match,3.6277,0.9829,0.68861,0.63403,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
150,0,0,Match,2.7391,7.4018,0.071684,-2.5302,"R17,R26,R45,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.146852646,-0.364919333,0.319507113
151,0,0,Match,4.5447,8.2274,-2.4166,-1.5875,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
152,0,0,Match,-1.7599,11.9211,2.6756,-3.3241,"R9,R26,R46,R55,R65,R81,R102,R119,R126,R147,R176,R185",0.257917958,-0.64291278,-0.169750505
153,0,0,Match,5.0691,0.21313,0.20278,1.2095,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
154,0,0,Match,3.4591,11.112,-4.2039,-5.0931,"R17,R26,R41,R55,R74,R88,R102,R116,R137,R157,R176,R194",0.196408332,-0.513395924,0.262839721
155,0,0,Match,1.9358,8.1654,-0.023425,-2.2586,"R15,R26,R45,R55,R74,R90,R102,R117,R138,R157,R176,R193",0.216268484,-0.362331794,0.200242749
156,0,0,Match,2.486,-0.99533,5.3404,-0.15475,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
157,0,0,Match,2.4226,-4.5752,5.947,0.21507,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
158,0,0,Match,3.9479,-3.7723,2.883,0.019813,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
159,0,0,Match,2.2634,-4.4862,3.6558,-0.61251,"R15,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.197364415,0.05650555,0.57343151
160,0,0,Match,1.3566,4.2358,2.1341,0.3211,"R11,R21,R38,R53,R70,R84,R99,R111,R138,R157,R168,R188",0.306501171,0.336252218,0.352322135
161,0,0,Match,5.0452,3.8964,-1.4304,0.86291,"R17,R23,R40,R53,R74,R90,R93,R114,R138,R157,R171,R194",0.214793343,-0.165625458,0.558486414
